fecha_extraccion_utc,fuente,pagina_fuente,termino_busqueda,producto_original,producto_canonico,precio_mxn,precio_anterior_mxn,esta_en_promocion,unidad_detectada,precio_estimado_por_kg_mxn,peso_presentacion_kg,tipo_unidad_venta,peso_promedio_kg,marca_original,ruta_categoria,es_producto_fresco
2026-03-26T17:24:46.899646+00:00,walmart_mx,https://www.walmart.com.mx/ip/chile-jalapeno-por-kilo/00000000004693?athbdg=L1300,chile jalapeno por kilo,Chile Jalapeño por kilo,chile_jalapeno,8.0,27.9,True,kg,8.0,,EACH_WEIGHT,0.058,Frutas Y Verduras Frescas,"Frutas y Verduras > Verduras > Chiles, ajos y pimientos",True
2026-03-26T17:24:43.222830+00:00,walmart_mx,https://www.walmart.com.mx/ip/zanahoria-por-kilo/00000000004094?athbdg=L1300,zanahoria,Zanahoria por kilo,zanahoria,13.0,26.9,True,kg,13.0,,EACH_WEIGHT,0.14,Frutas Y Verduras Frescas,"Frutas y Verduras > Verduras > Pepinos, zanahorias y jícamas",True
2026-03-26T17:24:45.567186+00:00,walmart_mx,https://www.walmart.com.mx/ip/cebolla-blanca-por-kilo/00000000004663?athbdg=L1300,cebolla,Cebolla Blanca por kilo,cebolla,22.5,39.9,True,kg,22.5,,EACH_WEIGHT,0.335,Frutas Y Verduras Frescas,"Frutas y Verduras > Verduras > Cebollas, papas y verduras de raíz",True
2026-03-26T17:24:59.095730+00:00,walmart_mx,https://www.walmart.com.mx/ip/papa-blanca-alfa-por-kilo/00000000004083?athbdg=L1300,papa,Papa blanca alfa por kilo,papa,28.9,59.9,True,kg,28.9,,EACH_WEIGHT,0.265,Frutas Y Verduras Frescas,"Frutas y Verduras > Verduras > Cebollas, papas y verduras de raíz",True
2026-03-26T17:24:57.209269+00:00,walmart_mx,https://www.walmart.com.mx/ip/mango-paraiso-por-kilo/00000000004959?athbdg=L1300,mango,Mango paraíso por kilo,mango,35.0,74.0,True,kg,35.0,,EACH_WEIGHT,0.535,Frutas Y Verduras Frescas,Frutas y Verduras > Frutas > Frutas de temporada y exóticas,True
2026-03-26T17:24:53.678186+00:00,walmart_mx,https://www.walmart.com.mx/ip/limon-sin-semilla-por-kilo/00000000004048?athbdg=L1300,limon,Limón sin semilla por kilo,limon,44.0,74.0,True,kg,44.0,,EACH_WEIGHT,0.073,Frutas Y Verduras Frescas,"Frutas y Verduras > Frutas > Naranja, limón y cítricos",True
2026-03-26T17:24:37.690354+00:00,walmart_mx,https://www.walmart.com.mx/ip/jitomate-saladet-por-kilo/00000000004087?athbdg=L1300,jitomate,Jitomate saladet por kilo,tomate,49.0,56.0,True,kg,49.0,,EACH_WEIGHT,0.106,Frutas Y Verduras Frescas,"Frutas y Verduras > Verduras > Jitomates, aguacates y básicos",True
2026-03-26T17:24:55.117305+00:00,walmart_mx,https://www.walmart.com.mx/ip/penca-de-platano-chiapas-por-kilo/00000000004011,platano,Penca de plátano Chiapas por kilo,platano,27.9,,False,kg,27.9,,EACH_WEIGHT,1.18,Frutas Y Verduras Frescas,"Frutas y Verduras > Frutas > Plátanos, papayas y tropicales",True
2026-03-26T17:24:35.783142+00:00,walmart_mx,https://www.walmart.com.mx/ip/aguacate-hass-por-kilo/00000000004225,aguacate,Aguacate Hass por kilo,aguacate,49.9,,False,kg,49.9,,EACH_WEIGHT,0.265,Frutas Y Verduras Frescas,"Frutas y Verduras > Verduras > Jitomates, aguacates y básicos",True
2026-03-26T17:24:41.249838+00:00,walmart_mx,https://www.walmart.com.mx/ip/crema-campbell-s-de-elote-750-g/00750101132335,elote,Crema Campbell's de elote 750 g,elote,73.0,,False,g_pack,97.3333,0.75,EACH,,Campbell's,"Abarrotes > Pasta, purés y caldillos > Sopas y cremas",True
