fecha,presentacion,origen,destino,precio_minimo,precio_maximo,precio_frecuente,obs,fecha_inicio_query,fecha_final_query,producto_id,origen_id,destino_id,origen_query,destino_query,precios_por_id,registros_por_pagina,fuente,fecha_extraccion
12/03/2026,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",30.77,32.31,30.77,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
13/03/2026,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",30.77,32.31,30.77,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
03/03/2026,Caja de 10 kg.,Michoacán,"Coahuila: Central de Abasto de La Laguna, Torreón",31.0,33.0,32.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
04/03/2026,Caja de 10 kg.,Michoacán,"Coahuila: Central de Abasto de La Laguna, Torreón",31.0,33.0,32.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
05/03/2026,Caja de 10 kg.,Michoacán,"Coahuila: Central de Abasto de La Laguna, Torreón",31.0,33.0,32.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
06/03/2026,Caja de 10 kg.,Michoacán,"Coahuila: Central de Abasto de La Laguna, Torreón",31.0,33.0,32.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
09/03/2026,Caja de 10 kg.,Michoacán,"Coahuila: Central de Abasto de La Laguna, Torreón",31.0,33.0,32.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
10/03/2026,Caja de 10 kg.,Michoacán,"Coahuila: Central de Abasto de La Laguna, Torreón",31.0,33.0,32.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
11/03/2026,Caja de 10 kg.,Michoacán,"Coahuila: Central de Abasto de La Laguna, Torreón",31.0,33.0,32.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
12/03/2026,Caja de 10 kg.,Michoacán,"Coahuila: Central de Abasto de La Laguna, Torreón",31.0,33.0,32.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
13/03/2026,Caja de 10 kg.,Michoacán,"Coahuila: Central de Abasto de La Laguna, Torreón",31.0,33.0,32.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
03/03/2026,Kilogramo,Jalisco,Colima: Centros de distribución de Colima,55.0,57.0,57.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
06/03/2026,Kilogramo,Jalisco,Colima: Centros de distribución de Colima,55.0,58.0,58.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
10/03/2026,Kilogramo,Jalisco,Colima: Centros de distribución de Colima,55.0,58.0,58.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
13/03/2026,Kilogramo,Jalisco,Colima: Centros de distribución de Colima,55.0,58.0,58.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
03/03/2026,Kilogramo,Puebla,Chiapas: Central de Abasto de Tuxtla Gutiérrez,50.0,65.0,50.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
04/03/2026,Kilogramo,Puebla,Chiapas: Central de Abasto de Tuxtla Gutiérrez,48.0,65.0,48.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
05/03/2026,Kilogramo,Puebla,Chiapas: Central de Abasto de Tuxtla Gutiérrez,48.0,65.0,48.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
06/03/2026,Kilogramo,Puebla,Chiapas: Central de Abasto de Tuxtla Gutiérrez,45.0,60.0,45.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
09/03/2026,Kilogramo,Puebla,Chiapas: Central de Abasto de Tuxtla Gutiérrez,45.0,60.0,45.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
10/03/2026,Kilogramo,Puebla,Chiapas: Central de Abasto de Tuxtla Gutiérrez,40.0,55.0,40.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
11/03/2026,Kilogramo,Puebla,Chiapas: Central de Abasto de Tuxtla Gutiérrez,40.0,55.0,40.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
12/03/2026,Kilogramo,Puebla,Chiapas: Central de Abasto de Tuxtla Gutiérrez,48.0,55.0,48.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
13/03/2026,Kilogramo,Puebla,Chiapas: Central de Abasto de Tuxtla Gutiérrez,48.0,55.0,48.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
03/03/2026,Kilogramo,Michoacán,Chihuahua: Mercado de Abasto de Cd. Juárez,32.0,32.0,32.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
